No Action On Screen,Creating user-defined methods,106803,00:00 - 02:39,Fix
General Content Bug,Stepping through the code,106823,01:17 - 01:23,Fix
General Content Bug,Creating and importing JAR files,106881,00:38 - 01:07,Fix
General Content Bug,Creating and importing JAR files,106871,01:00 - 01:36,Fix
No Action On Screen,Diagramming with UML,106927,Entire Movie,Fix
Dialogue/Action Mismatch,Working with interfaces,106955,01:27 - 01:29,Fix
Exercise File Wrong State,Reviewing data types,106793,01:35 - 03:04,Fix
Exercise File Wrong State,Solution: College cost app,106819,Entire Movie,Fix
Exercise File Functionality Problem,Solution: Debugging,106986,Entire Movie,Fix
Exercise File Wrong State,Creating and importing JAR files,106879,06:02 - 06:07,Fix
Exercise File Wrong State,Improving your program with error handling,106887,04:07 - 04:10,Fix
Exercise File Wrong State,Challenge: API,106894,Entire Movie,Fix
Exercise File Functionality Problem,Solution: Monte Carlo,106918,Entire Movie,Fix
Exercise File Wrong State,Instantiating classes,106931,Entire Movie,Fix
Exercise File Wrong State,Avoiding null references,106937,Entire Movie,Fix
Exercise File Wrong State,Managing ArrayLists,106966,00:53 - 05:33,Fix
Exercise File Wrong State,Enhancing for loop,106969,00:51 - 02:56,Fix
